Quarter,REPORTING  DISTRICT,DIVISION,BURG  BUS,BURG  RES,BURG  OTH,ROBB  ST,ROBB  OTH,MURDER,RAPE,AGGR  ASSAULT,BURG  FROM  AUTO,THEFT  FROM  AUTO,GRAND  THEFT,THEFT  FROM  PERS,PURSE  SNATCH,OTHER  THEFT,BIKE  THEFT,AUTO  THEFT,BUNCO,TOTAL
1992Q1,1043,10,1,5,4,2,7,0,0,11,31,4,4,0,0,10,5,41,0,125
1992Q1,1044,10,1,4,1,0,0,0,0,0,5,0,0,0,0,0,2,5,0,18
1992Q1,1045,10,1,3,0,1,3,0,1,4,8,0,1,0,0,11,0,8,1,42
1992Q1,1046,10,1,13,4,3,2,2,1,7,21,6,3,0,2,5,0,34,0,104
1992Q1,1047,10,4,14,7,3,0,0,0,12,12,7,1,0,0,25,4,28,0,117
1992Q1,1048,10,1,8,4,2,1,0,0,4,15,1,1,0,0,2,3,14,0,56
1992Q1,1049,10,2,8,2,3,3,0,0,3,5,2,2,0,0,4,1,11,0,46
1992Q1,1051,10,3,10,3,1,3,0,0,5,3,2,4,1,0,3,1,7,0,46
1992Q1,1052,10,2,11,5,1,4,0,0,3,8,1,3,0,0,9,10,10,0,67
1992Q1,1053,10,3,7,3,3,4,0,0,7,16,10,9,0,0,92,3,32,1,190
1992Q1,1054,10,0,7,3,3,3,1,0,4,6,1,2,0,0,7,2,14,0,53
1992Q1,1055,10,5,10,1,0,2,0,0,2,21,5,5,0,0,10,0,18,0,79
1992Q1,1056,10,9,11,0,0,5,0,1,7,15,6,13,0,1,26,0,13,0,107
1992Q1,1062,10,12,1,1,3,2,0,1,10,24,5,20,0,1,138,1,30,0,249
1992Q1,1063,10,4,1,0,0,0,0,0,3,19,6,6,0,1,13,0,15,0,68
1992Q1,1064,10,1,2,0,0,0,0,0,1,0,0,2,0,0,2,1,4,0,13
1992Q1,1065,10,2,4,1,4,5,0,0,8,15,2,2,0,0,4,1,8,0,56
1992Q1,1066,10,2,8,0,3,5,0,0,12,14,7,2,1,0,1,2,15,0,72
1992Q1,1067,10,4,14,3,9,7,0,0,13,35,7,8,2,0,18,3,35,0,158
1992Q1,1068,10,1,14,3,2,2,0,1,8,25,2,6,0,0,9,4,31,0,108
1992Q1,1069,10,6,9,1,1,1,0,1,3,34,2,6,0,0,4,2,28,0,98
1992Q1,1071,10,0,5,3,1,0,0,0,5,17,1,3,0,0,3,1,3,0,42
1992Q1,1072,10,0,5,0,1,0,0,1,0,5,1,4,0,0,1,0,3,0,21
1992Q1,1073,10,2,1,0,0,1,0,0,1,6,2,1,0,0,3,4,3,0,24
1992Q1,1074,10,5,16,5,4,1,0,1,10,23,3,3,0,0,7,1,18,0,97
1992Q1,1075,10,0,12,6,2,4,0,3,9,34,8,12,3,0,18,3,23,0,137
1992Q1,1076,10,2,10,0,3,7,0,1,7,59,6,11,0,3,10,5,46,0,170
1992Q1,1077,10,3,8,1,4,3,0,0,2,22,5,4,0,1,10,3,12,0,78
1992Q1,1078,10,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3
1992Q1,1079,10,1,10,1,2,1,0,0,3,8,2,2,0,0,3,0,9,0,42
1992Q1,1081,10,0,5,2,0,0,0,0,4,5,4,5,0,0,2,0,4,0,31
1992Q1,1082,10,1,6,3,0,0,0,0,1,21,2,4,0,0,8,4,7,0,57
1992Q1,1083,10,8,16,3,7,3,0,0,6,22,11,12,1,0,19,6,24,0,138
1992Q1,1084,10,6,14,5,5,5,0,0,3,40,6,6,0,0,13,1,20,0,124
1992Q1,1085,10,4,7,1,5,9,0,0,1,9,2,4,1,0,11,0,9,0,63
1992Q1,1086,10,18,10,3,8,14,0,0,15,49,6,9,1,0,22,3,27,1,186
1992Q1,1087,10,1,1,1,2,3,0,1,5,15,3,2,1,0,4,1,13,0,53
1992Q1,1088,10,3,2,1,1,3,0,0,1,14,3,1,0,0,6,0,5,0,40
1992Q1,1089,10,3,13,6,1,1,0,0,6,9,3,6,1,1,9,0,5,0,64
1992Q1,1091,10,3,11,1,1,2,1,0,5,15,4,7,1,0,5,1,14,0,71
1992Q1,1092,10,2,5,1,1,3,0,0,4,12,7,6,0,0,7,1,11,0,60
1992Q1,1093,10,0,3,2,0,0,0,0,2,3,0,0,0,0,1,0,2,0,13
1992Q1,1094,10,0,4,3,0,0,0,0,1,3,2,3,0,0,2,1,0,0,19
1992Q1,1095,10,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3
1992Q1,1096,10,0,3,1,1,0,0,0,1,25,2,0,0,0,0,0,1,0,34
1992Q1,1097,10,0,8,3,1,1,0,1,3,6,4,8,0,0,1,1,3,0,40
1992Q1,1098,10,1,5,1,0,0,0,0,0,6,1,3,0,0,2,1,6,0,26
1992Q1,1099,10,0,23,1,2,3,0,0,1,7,6,5,0,0,7,0,9,0,64
1992Q1,1100,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1992Q1,1101,11,0,2,1,5,0,0,1,2,14,0,5,0,2,2,0,13,0,47
1992Q1,1102,11,7,6,3,1,1,0,0,5,8,3,3,0,0,3,0,10,0,50
1992Q1,1105,11,7,0,2,2,0,0,0,5,6,1,0,0,0,5,1,6,1,36
1992Q1,1109,11,10,7,2,2,0,0,0,7,19,8,4,0,0,3,1,17,0,80
1992Q1,1112,11,2,2,1,0,2,0,0,0,8,2,0,1,0,3,1,8,0,30
1992Q1,1113,11,4,3,0,0,2,0,0,4,9,1,3,0,0,18,1,15,0,60
1992Q1,1115,11,1,4,1,3,5,1,0,11,12,3,2,0,1,8,0,11,0,63
1992Q1,1117,11,1,4,1,2,3,0,0,14,13,6,3,0,1,5,0,14,1,68
1992Q1,1119,11,1,3,4,6,1,0,0,8,3,3,0,0,0,4,1,12,0,46
1992Q1,1121,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1992Q1,1122,11,2,1,1,0,0,0,0,3,6,1,1,0,0,0,0,6,0,21
1992Q1,1123,11,5,1,6,4,0,0,0,1,18,3,2,0,0,9,5,14,1,69
1992Q1,1124,11,6,1,4,7,2,0,2,17,9,10,2,0,0,53,2,19,0,134
1992Q1,1125,11,4,13,2,1,2,1,1,14,11,3,0,0,0,4,3,16,1,76
1992Q1,1126,11,11,11,0,6,1,0,0,11,7,2,4,0,0,3,0,17,0,73
1992Q1,1127,11,3,22,2,7,4,0,0,19,14,10,2,0,0,6,0,39,0,128
1992Q1,1128,11,2,10,8,5,3,0,0,11,13,3,3,1,1,11,0,24,0,95
1992Q1,1129,11,0,5,4,5,3,0,0,17,23,9,2,0,0,5,2,22,2,99
1992Q1,1132,11,0,23,30,4,1,0,0,7,26,7,6,1,0,7,9,54,0,175
1992Q1,1133,11,6,12,2,6,1,0,0,13,11,7,2,0,0,10,3,19,1,93
1992Q1,1134,11,10,7,4,7,4,3,1,25,17,15,5,0,0,28,4,34,1,165
1992Q1,1135,11,4,9,3,3,0,0,0,9,10,6,3,0,0,2,3,14,1,67
