Quarter,REPORTING  DISTRICT,DIVISION,BURG  BUS,BURG  RES,BURG  OTH,ROBB  ST,ROBB  OTH,MURDER,RAPE,AGGR  ASSAULT,BURG  FROM  AUTO,THEFT  FROM  AUTO,GRAND  THEFT,THEFT  FROM  PERS,PURSE  SNATCH,OTHER  THEFT,BIKE  THEFT,AUTO  THEFT,BUNCO,TOTAL,,
1991Q1,0375,3,2,10,8,11,4,0,2,21,9,3,2,1,1,6,1,19,0,100,,
1991Q1,0376,3,0,4,2,11,8,0,1,17,7,6,1,1,1,6,0,14,0,79,,
1991Q1,0377,3,0,11,0,13,6,1,3,48,14,10,4,0,0,7,1,22,0,140,,
1991Q1,0378,3,1,0,1,8,1,0,1,1,19,1,6,3,1,3,1,12,0,59,,
1991Q1,0391,3,3,16,3,6,5,0,2,7,9,5,5,1,0,3,0,25,0,90,,
1991Q1,0393,3,6,7,5,22,16,1,1,18,23,7,3,1,3,14,0,25,0,152,,
1991Q1,0394,3,3,3,3,7,2,0,0,8,9,0,2,0,1,5,0,7,0,50,,
1991Q1,0395,3,4,17,8,25,6,1,1,21,5,6,6,0,2,18,6,17,0,143,,
1991Q1,0397,3,3,14,6,31,7,2,1,41,16,10,4,1,0,18,0,45,0,199,,
1991Q1,0398,3,6,15,5,32,10,0,0,29,34,17,3,0,0,14,2,46,0,213,,
1991Q1,0399,3,0,3,0,13,2,0,0,6,8,4,0,0,0,11,0,9,0,56,,
1991Q1,0401,4,0,3,1,0,1,0,0,3,5,1,1,0,0,0,0,1,0,16,,
1991Q1,0402,4,0,7,0,1,0,0,0,4,1,1,2,0,0,0,1,11,0,28,,
1991Q1,0403,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,,
1991Q1,0404,4,1,11,3,0,2,0,0,6,13,5,3,1,1,2,1,14,0,63,,
1991Q1,0405,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,,
1991Q1,0406,4,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,4,0,10,,
1991Q1,0407,4,0,30,3,1,1,0,1,16,39,3,1,0,0,6,3,29,0,133,,
1991Q1,0408,4,0,5,1,1,3,0,0,3,5,0,0,0,0,4,0,9,0,31,,
1991Q1,0409,4,1,17,4,3,3,0,1,18,9,5,2,0,0,2,1,22,0,88,,
1991Q1,0411,4,7,1,4,3,3,0,0,2,10,6,1,0,1,6,0,3,0,47,,
1991Q1,0412,4,5,1,0,5,1,0,0,5,8,2,1,1,2,3,0,13,1,48,,
1991Q1,0413,4,1,0,3,1,1,0,0,4,0,0,0,0,0,0,0,6,0,16,,
1991Q1,0414,4,0,2,0,1,0,0,0,0,1,0,2,0,0,1,0,1,0,8,,
