QUARTER,REPORTING DISTRICT,DIVISION,BURG BUS-,BURG RES-,BURG OTH-,ROBB ST-,ROBB OTH-,MURD- ER,RAPE,AGGR ASSA- ULT,BURG “FROM AUTO,THEFT FROM AUTO,GRAND THEFT,THEFT FROM PERS,PURSE SNAT- CH,OTHER THEFT,BIKETHEFT,AUTO THEFT,BUNCO,TOTAL
2005Q4,452,4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,5
2005Q4,453,4,0,0,4,1,0,0,1,5,7,6,2,0,0,4,0,13,0,43
2005Q4,455,4,0,1,0,3,4,1,1,8,9,6,0,0,0,2,0,12,0,47
2005Q4,457,4,2,1,0,3,3,1,0,11,8,7,2,0,0,4,0,6,0,48
2005Q4,459,4,0,3,0,0,1,0,0,3,6,5,2,0,0,3,0,8,0,31
2005Q4,462,4,1,0,2,2,1,0,0,6,4,2,1,0,0,0,0,3,1,23
2005Q4,463,4,2,1,4,4,1,0,0,11,6,15,3,0,0,9,0,11,0,67
2005Q4,466,4,1,0,0,3,2,0,0,19,8,5,1,0,0,5,0,12,0,56
2005Q4,467,4,0,1,2,4,1,1,0,4,3,8,2,0,0,3,0,16,1,46
2005Q4,468,4,0,1,1,4,0,0,0,4,5,4,1,0,0,1,0,4,0,25
2005Q4,469,4,0,0,0,2,0,1,0,3,1,4,1,0,0,0,0,9,0,21
2005Q4,471,4,3,1,2,3,0,0,0,5,7,24,2,1,0,1,0,7,0,56
2005Q4,473,4,1,1,0,4,3,0,1,5,7,6,1,0,0,3,0,13,1,46
2005Q4,477,4,4,1,2,0,1,0,1,0,8,8,1,1,0,3,0,12,0,42
2005Q4,478,4,0,3,1,5,0,0,0,5,6,3,0,0,0,3,0,14,0,40
2005Q4,479,4,1,0,1,3,2,0,0,2,2,5,1,0,0,2,0,16,0,35
2005Q4,487,4,0,1,0,0,0,0,0,3,2,2,0,0,0,0,0,1,0,9
2005Q4,488,4,0,0,0,1,0,0,1,1,2,0,0,0,0,1,0,4,0,10
2005Q4,491,4,2,0,0,1,3,0,0,2,7,1,2,0,0,6,0,15,0,39
2005Q4,497,4,5,1,3,5,5,0,1,12,18,8,5,0,0,3,0,26,0,92
2005Q4,499,4,0,0,0,2,0,0,0,7,2,4,2,0,0,0,0,12,0,29
2005Q4,500,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2005Q4,501,5,1,2,2,5,0,0,0,1,14,2,7,0,0,6,0,6,0,46
2005Q4,502,5,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,1,0,6
2005Q4,504,5,2,6,0,1,0,0,0,9,9,2,9,0,0,2,0,17,0,57
2005Q4,505,5,1,0,0,0,0,0,0,1,12,2,1,0,0,1,0,3,0,21
2005Q4,506,5,1,3,1,0,2,0,1,2,6,4,0,0,0,1,0,14,0,35
2005Q4,507,5,0,2,2,2,0,0,0,8,9,3,2,1,0,2,0,7,1,39
2005Q4,508,5,0,2,0,1,0,0,0,1,3,5,3,0,0,2,0,4,0,21
2005Q4,509,5,1,2,1,1,0,0,0,7,2,0,4,0,0,2,0,3,0,23
2005Q4,511,5,2,8,4,4,4,1,0,2,5,9,0,0,0,4,0,13,1,57
2005Q4,512,5,0,2,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,7
