QUARTER,REPORTING  DISTRICT,DIVISION,BURG  BUS-,BURG  RES-,BURG  OTH-,ROBB  ST-,ROBB  OTH-,MURDER,RAPE,AGGR  ASSAULT,BURG  FROM  AUTO,THEFT  FROM  AUTO,GRAND  THEFT,THEFT  FROM  PERS,PURSE  SNATCH,OTHER  THEFT,BIKE THEFT,AUTO  THEFT,BUNCO,TOTAL
1997Q1,1243,12,2,11,4,6,2,1,3,17,3,8,2,0,0,12,0,16,0,87
1997Q1,1245,12,2,9,2,8,1,1,2,22,8,9,2,0,0,8,0,12,0,86
1997Q1,1248,12,0,8,1,5,2,0,0,16,1,7,2,0,0,3,0,4,0,49
1997Q1,1249,12,1,12,7,9,5,1,0,14,6,7,1,0,0,5,0,11,0,79
1997Q1,1251,12,8,8,0,3,3,0,0,16,6,6,1,1,1,1,0,9,0,63
1997Q1,1252,12,5,13,2,3,3,0,1,2,4,5,1,0,0,1,0,9,0,49
1997Q1,1253,12,1,9,3,2,3,1,0,9,0,5,0,0,0,5,0,8,0,46
1997Q1,1255,12,0,6,5,7,4,0,0,12,5,11,3,0,1,5,0,8,0,67
1997Q1,1256,12,6,23,7,24,9,2,1,28,6,16,3,0,0,15,0,19,1,160
1997Q1,1258,12,1,16,4,9,2,0,1,18,2,10,0,0,0,5,0,13,0,81
1997Q1,1259,12,1,3,6,13,6,0,0,21,10,18,2,0,1,10,0,15,0,106
1997Q1,1263,12,3,8,0,11,4,1,1,14,3,16,2,0,0,4,0,12,0,79
1997Q1,1265,12,2,8,5,18,5,0,0,20,2,11,1,0,1,7,0,11,0,91
1997Q1,1266,12,0,24,9,15,8,2,0,32,17,24,3,2,3,8,0,44,0,191
1997Q1,1268,12,1,2,2,5,4,0,0,21,4,14,1,0,0,8,0,16,0,78
1997Q1,1269,12,2,14,4,15,8,1,1,34,2,16,3,0,0,5,0,24,0,129
1997Q1,1273,12,4,16,6,7,4,0,1,16,4,10,1,0,0,6,0,10,0,85
1997Q1,1283,12,0,20,6,9,4,0,0,13,5,2,1,0,0,2,0,11,0,73
